City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,kupang,-10.1667,123.5833,24.32,100,75,2.57,ID,1726612530
242,sandnessjoen,66.0217,12.6316,13.28,90,100,12.83,NO,1726612611
243,praia da vitoria,38.7333,-27.0667,23.14,73,75,4.49,PT,1726612613
244,beatrice,40.2681,-96.747,30.05,51,0,6.69,US,1726612615
245,timbuktu,16.7735,-3.0074,26.97,73,98,10.98,ML,1726612616
246,porto novo,6.4965,2.6036,25.9,91,73,3.31,BJ,1726612617
247,gelemso,8.8167,40.5167,16.32,87,93,2.65,ET,1726612618
248,adrar,20.5022,-10.0711,28.27,57,93,4.46,MR,1726612619
249,howrah,22.5892,88.3103,26.0,94,20,0.0,IN,1726612620
250,isna,25.2934,32.554,30.31,25,0,5.72,EG,1726612621
251,saiha,22.4833,92.9667,22.16,99,66,0.93,IN,1726612622
252,timmins,48.4669,-81.3331,27.9,34,20,2.57,CA,1726612532
253,kayes,14.0,-11.0,24.03,91,79,2.38,ML,1726612624
254,ivdel',60.6911,60.4206,12.75,91,83,2.12,RU,1726612625
255,jamestown,42.097,-79.2353,24.8,50,0,2.57,US,1726612358
256,roma,43.2128,-75.4557,24.27,54,0,2.57,US,1726612331
257,yichun,47.7,128.9,13.12,64,1,1.08,CN,1726612379
258,carolina beach,34.0352,-77.8936,25.02,83,13,3.67,US,1726612630
259,lagdo,9.05,13.7333,22.74,98,100,0.9,CM,1726612631
260,palora,-1.7,-77.9333,27.06,93,85,1.34,EC,1726612632
261,sao jose da coroa grande,-8.8978,-35.1478,23.87,82,17,4.93,BR,1726612633
262,puerto deseado,-47.7503,-65.8938,5.7,65,63,5.03,AR,1726612635
263,chayan,43.0297,69.3772,15.83,36,2,3.6,KZ,1726612637
264,youngstown,41.0998,-80.6495,24.65,68,75,4.63,US,1726612598
265,sawankhalok,17.316,99.8319,25.94,100,20,0.51,TH,1726612640
266,nova sintra,14.8667,-24.7167,26.6,76,15,3.58,CV,1726612641
267,hillsboro,45.5229,-122.9898,17.86,75,100,2.57,US,1726612642
268,punta arenas,-53.15,-70.9167,2.06,80,20,10.8,CL,1726612392
269,hermanus,-34.4187,19.2345,12.11,85,19,5.23,ZA,1726612644
270,dzuunmod,48.2199,97.3744,1.13,75,81,1.85,MN,1726612645
271,sanctuary point,-35.1114,150.629,17.39,33,1,7.09,AU,1726612646
272,mhamid,29.82,-5.72,27.81,21,1,4.37,MA,1726612647
273,clarence town,-32.5833,151.7833,13.95,43,0,3.09,AU,1726612649
274,axim,4.8699,-2.2405,24.18,90,70,4.36,GH,1726612650
275,le morne-rouge,14.7667,-61.1333,25.76,74,100,3.12,MQ,1726612651
276,port lincoln,-34.7333,135.8667,13.31,61,0,7.84,AU,1726612572
277,guerrero negro,27.9769,-114.0611,21.37,58,0,9.44,MX,1726612653
278,sanya,18.2431,109.505,28.09,78,20,2.0,CN,1726612654
279,kolosovka,56.4678,73.611,5.73,83,0,2.99,RU,1726612655
280,nagqu,31.5,92.0,1.34,87,33,1.41,CN,1726612656
281,livingston,55.9029,-3.5226,15.15,94,40,1.03,GB,1726612657
282,al ghayzah,16.2079,52.176,24.21,87,65,1.04,YE,1726612658
283,sabha,27.0377,14.4283,32.54,20,10,5.76,LY,1726612659
284,nemuro,43.3236,145.575,18.04,75,57,2.9,JP,1726612660
285,ilhabela,-23.7781,-45.3581,19.22,79,81,3.52,BR,1726612662
286,chopda,21.25,75.3,22.6,87,19,3.02,IN,1726612663
287,cabedelo,-6.9811,-34.8339,24.37,78,6,5.47,BR,1726612664
288,vilyuchinsk,52.9306,158.4028,9.15,78,100,0.28,RU,1726612575
289,turinsk,58.0458,63.696,9.67,95,34,2.42,RU,1726612666
290,preobrazheniye,42.9019,133.9064,19.96,62,64,1.37,RU,1726612667
291,severo-yeniseyskiy,60.3725,93.0408,2.91,99,100,1.45,RU,1726612668
292,charters towers,-20.1,146.2667,21.17,56,100,6.22,AU,1726612640
293,luderitz,-26.6481,15.1594,12.66,83,0,7.09,NA,1726612670
294,decorah,43.3033,-91.7857,29.51,45,0,3.09,US,1726612671
295,polyarnyy,69.1989,33.4478,9.91,85,100,2.42,RU,1726612639
296,sovetskiy,61.3614,63.5842,12.81,94,68,2.58,RU,1726612674
297,salaqi,40.5414,110.5108,19.69,88,90,3.15,CN,1726612675
298,yuksekova,37.5736,44.2872,10.86,71,20,2.06,TR,1726612676
299,amahai,-3.3333,128.9167,26.02,83,94,1.34,ID,1726612677
300,prince rupert,54.3161,-130.3201,14.05,83,0,5.14,CA,1726612678
301,galliano,29.4422,-90.2992,29.0,70,40,1.54,US,1726612680
302,alesund,62.4723,6.1549,15.08,72,20,4.12,NO,1726612681
303,altai,46.3722,96.2583,7.2,46,28,1.64,MN,1726612682
304,novogornyy,55.63,60.7919,7.44,68,0,2.23,RU,1726612683
305,bua yai,15.5855,102.4259,28.25,99,100,2.48,TH,1726612684
306,bhalwal,32.272,72.9043,27.22,54,0,2.43,PK,1726612686
307,carloforte,39.145,8.3058,20.63,65,97,2.12,IT,1726612687
308,forde,61.4522,5.8572,14.06,76,100,0.0,NO,1726612688
309,la passe,45.5549,-0.8967,18.24,68,8,6.29,FR,1726612690
310,sakaraha,-22.9,44.5333,22.64,32,8,1.35,MG,1726612691
311,el porvenir,13.7617,-87.3458,28.34,79,79,0.88,HN,1726612666
312,tarquinia,42.2482,11.7553,14.89,94,84,2.25,IT,1726612693
313,sisimiut,66.9395,-53.6735,1.99,79,53,2.45,GL,1726612694
314,hsinchu,24.8036,120.9686,28.83,73,1,1.79,TW,1726612457
315,gisborne,-38.6533,178.0042,11.25,37,2,2.98,NZ,1726612697
316,kushiro,42.975,144.3747,19.53,82,86,0.51,JP,1726612698
317,billings,45.7833,-108.5007,23.98,40,75,2.06,US,1726612500
318,kilindoni,-7.9139,39.6668,24.86,78,7,5.41,TZ,1726612700
319,pokachi,61.7198,75.3683,9.51,93,73,3.84,RU,1726612701
320,tafuna,-14.3358,-170.72,28.97,74,20,2.57,AS,1726612703
321,marsabit,2.3284,37.9899,18.85,70,32,10.34,KE,1726612705
322,mombetsu,44.3525,143.3525,19.47,72,1,4.84,JP,1726612706
323,mejit,10.2753,170.8646,28.73,74,32,7.23,MH,1726612708
324,xam nua,20.4197,104.0439,19.87,100,100,0.71,LA,1726612709
325,port alfred,-33.5906,26.891,15.1,92,23,1.79,ZA,1726612710
326,codrington,-38.2667,141.9667,12.4,74,77,9.06,AU,1726612711
327,kargasok,59.0556,80.8572,8.24,93,90,2.89,RU,1726612712
328,kerikeri,-35.2268,173.9474,13.41,64,65,4.75,NZ,1726612713
329,bandarbeyla,9.4942,50.8122,25.45,80,100,7.74,SO,1726612714
330,yung shue wan,22.2333,114.1167,28.68,80,4,9.44,HK,1726612715
331,pacific grove,36.6177,-121.9166,19.82,81,40,5.14,US,1726612716
332,francavilla al mare,42.4206,14.287,16.34,93,100,2.57,IT,1726612717
333,opuwo,-18.0607,13.84,18.13,25,0,1.17,NA,1726612718
334,port blair,11.6667,92.75,28.02,83,75,3.09,IN,1726612719
335,grootfontein,-19.5667,18.1167,18.76,11,11,2.06,NA,1726612721
336,sao joao da barra,-21.6403,-41.0511,22.05,77,88,4.68,BR,1726612722
337,challapata,-18.9,-66.7667,13.34,22,8,8.21,BO,1726612723
338,fort st. john,56.2499,-120.8529,15.94,82,75,3.6,CA,1726612724
339,geraldton,-28.7667,114.6,8.23,81,0,3.09,AU,1726612725
340,jaunpiebalga,57.1833,26.05,15.61,61,100,0.41,LV,1726612726
341,richards bay,-28.783,32.0377,21.9,88,98,4.65,ZA,1726612727
342,ciudad general teran,25.2667,-99.6833,30.05,66,95,1.64,MX,1726612634
343,labrador city,52.9463,-66.9114,16.95,59,20,3.6,CA,1726612729
344,jianshui,23.6363,102.8264,17.51,99,90,2.06,CN,1726612730
345,alakurtti,66.9672,30.3491,8.22,95,100,1.45,RU,1726612731
346,miri,4.4148,114.0089,26.08,89,40,1.03,MY,1726612733
347,antsiranana,-12.2787,49.2917,22.31,76,5,6.71,MG,1726612734
348,zalingei,12.9096,23.4741,24.63,66,62,2.17,SD,1726612735
349,alcanar,40.5432,0.4808,19.27,80,8,3.11,ES,1726612736
350,walvis bay,-22.9575,14.5053,11.26,94,5,0.71,NA,1726612737
351,murwara,23.85,80.4,21.84,97,100,4.04,IN,1726612738
352,shalqar,47.8333,59.6,12.49,30,85,8.89,KZ,1726612739
353,alofi,-19.0595,-169.9187,24.94,88,75,3.6,NU,1726612687
354,jincheng,35.5022,112.8328,22.17,73,44,2.58,CN,1726612741
355,columbia falls,48.3725,-114.1815,23.08,47,0,3.09,US,1726612742
356,al bardiyah,31.7561,25.0865,25.03,69,0,6.94,LY,1726612743
357,grand baie,-20.0182,57.5802,20.81,85,17,0.45,MU,1726612744
358,alotau,-10.3069,150.4462,25.21,94,94,3.98,PG,1726612746
359,ad dabbah,18.05,30.95,36.4,24,62,4.08,SD,1726612747
360,riviere-du-loup,47.8304,-69.5342,23.15,64,1,2.06,CA,1726612749
361,dunn,44.95,-91.8835,29.99,53,40,4.26,US,1726612750
362,pisco,-13.7,-76.2167,18.03,77,0,6.17,PE,1726612751
363,chiungutwa,-10.8833,38.9833,19.68,93,4,1.6,TZ,1726612752
364,san felipe,10.3399,-68.7425,26.66,66,89,1.57,VE,1726612753
365,harstad,68.799,16.5293,11.45,94,100,11.62,NO,1726612754
366,argostolion,38.1811,20.489,23.75,46,100,3.56,GR,1726612755
367,buala,-8.145,159.5921,28.81,72,93,2.77,SB,1726612757
368,northam,51.0333,-4.2167,12.56,91,20,4.58,GB,1726612758
369,trepuzzi,40.4056,18.0756,17.94,100,40,2.57,IT,1726612759
370,kailua-kona,19.6406,-155.9956,29.98,80,100,5.66,US,1726612760
371,marang,5.2056,103.2059,25.95,91,100,1.46,MY,1726612761
372,zara,44.1197,15.2422,19.34,52,0,6.17,HR,1726612762
373,manistee,44.2445,-86.3242,24.45,70,73,2.39,US,1726612763
374,sabang,5.8933,95.3214,27.42,80,100,11.98,ID,1726612764
375,okha,53.5739,142.9478,7.38,87,100,8.64,RU,1726612765
376,quang ngai,15.1167,108.8,23.58,98,100,4.8,VN,1726612766
377,san fernando,15.0286,120.6898,25.85,98,100,1.86,PH,1726612767
378,callao,-12.0667,-77.15,18.73,82,100,5.14,PE,1726612393
379,paciran,-6.8767,112.3761,24.18,75,95,4.11,ID,1726612770
380,duartina,-22.4144,-49.4039,19.78,52,0,7.61,BR,1726612771
381,caister-on-sea,52.6481,1.7265,16.13,82,49,6.77,GB,1726612773
382,botshabelo,-29.2702,26.7052,11.89,93,74,3.49,ZA,1726612774
383,romanovka,51.7443,42.7527,11.41,40,55,3.45,RU,1726612775
384,chebba,35.2372,11.115,24.76,67,33,3.06,TN,1726612776
385,correntina,-13.3433,-44.6367,27.14,29,0,2.44,BR,1726612777
386,guiratinga,-16.3494,-53.7583,30.81,29,100,0.6,BR,1726612778
387,kavaratti,10.5669,72.642,27.77,76,95,6.22,IN,1726612779
388,san sebastian de la gomera,28.0916,-17.1133,22.2,83,0,0.51,ES,1726612781
389,pacocha,-17.5833,-71.3333,15.62,87,12,1.11,PE,1726612782
390,puerto penasco,31.3167,-113.5333,31.99,39,0,4.12,MX,1726612783
391,sampit,-2.5333,112.95,23.72,91,61,0.46,ID,1726612784
392,semey,50.4111,80.2275,4.37,66,0,4.71,KZ,1726612785
393,simenqian,27.4872,110.8861,24.23,86,32,1.63,CN,1726612786
394,nova vicosa,-17.8919,-39.3719,22.73,89,16,5.44,BR,1726612740
395,cidreira,-30.1811,-50.2056,16.77,85,22,8.14,BR,1726612788
396,malvan,16.0667,73.4667,24.66,83,83,1.39,IN,1726612789
397,camayenne,9.535,-13.6878,26.05,94,75,2.06,GN,1726612790
398,makokou,0.5738,12.8642,21.06,99,100,1.79,GA,1726612791
399,katsuren-haebaru,26.3369,127.8719,29.21,88,75,7.2,JP,1726612793
400,daru,-9.0763,143.2092,25.93,90,65,7.37,PG,1726612794
401,isangel,-19.55,169.2667,25.06,57,75,2.57,VU,1726612795
402,bambanglipuro,-7.95,110.2833,22.97,82,57,1.44,ID,1726612796
403,moyale,3.5167,39.0584,20.27,76,50,4.58,KE,1726612797
404,mermoz boabab,14.7065,-17.4758,26.88,94,20,2.06,SN,1726612798
405,senanga,-16.1167,23.2667,21.08,16,2,2.74,ZM,1726612799
406,dauphin,51.1494,-100.0502,26.08,53,0,5.66,CA,1726612610
407,mashtul as suq,30.3606,31.3776,26.48,65,0,2.19,EG,1726612801
408,castillos,-34.1667,-53.8333,13.26,81,93,2.66,UY,1726612802
409,letlhakeng,-24.0944,25.0298,18.11,11,39,3.34,BW,1726612803
410,namibe,-15.1961,12.1522,19.15,86,100,2.9,AO,1726612701
411,newman,37.3138,-121.0208,26.13,42,32,1.34,US,1726612806
412,mazara del vallo,37.6641,12.588,20.52,98,1,3.53,IT,1726612807
413,huarmey,-10.0681,-78.1522,18.01,78,35,4.34,PE,1726612655
414,port alberni,49.2413,-124.8028,14.4,95,100,0.4,CA,1726612809
415,kone,-21.0595,164.8658,24.2,47,95,2.94,NC,1726612810
416,dhidhdhoo,6.8833,73.1,27.98,77,75,6.77,MV,1726612811
417,cascais,38.6979,-9.4215,22.64,54,0,0.89,PT,1726612812
418,oroqen zizhiqi,50.5667,123.7167,5.85,89,19,1.23,CN,1726612813
419,pimenta bueno,-11.6725,-61.1936,34.83,25,82,0.79,BR,1726612814
420,thurgoona,-36.0451,146.9919,9.25,61,0,2.42,AU,1726612815
421,dzhangala,49.2167,50.3333,11.38,31,11,4.67,KZ,1726612816
422,sittwe,20.15,92.9,26.16,85,100,2.21,MM,1726612818
423,tobelo,1.7284,128.0095,27.78,77,100,2.24,ID,1726612527
424,borzya,50.3833,116.5167,6.29,63,57,2.84,RU,1726612820
425,fiambala,-27.6871,-67.6149,18.93,18,6,5.09,AR,1726612821
426,divnomorskoye,44.5011,38.1353,19.77,86,44,2.74,RU,1726612822
427,alcaudete,37.5909,-4.0824,21.36,71,36,2.41,ES,1726612823
428,lata,40.1629,-8.3327,15.82,32,0,1.89,PT,1726612824
429,el calafate,-50.3408,-72.2768,2.68,63,2,3.48,AR,1726612739
430,darwin,-12.4611,130.8418,23.99,78,0,5.66,AU,1726612826
431,amos,48.5669,-78.1162,19.76,72,9,1.96,CA,1726612827
432,scottburgh,-30.2867,30.7532,19.51,91,100,3.14,ZA,1726612828
433,medina,24.4686,39.6142,35.24,11,0,4.12,SA,1726612734
434,dryden,49.7833,-92.7503,24.16,78,100,4.63,CA,1726612831
435,ramadi,33.4226,43.3058,28.43,33,0,5.3,IQ,1726612833
436,lerwick,60.1545,-1.1494,13.1,98,100,3.55,GB,1726612834
437,medicine hat,50.0501,-110.6683,22.34,55,40,5.66,CA,1726612835
438,wanning,18.8003,110.3967,26.75,88,100,6.7,CN,1726612836
439,manali,13.1667,80.2667,30.08,79,17,0.45,IN,1726612837
440,ocher,57.8904,54.7202,12.33,83,12,1.9,RU,1726612838
441,fortuna,40.5982,-124.1573,17.51,76,0,4.12,US,1726612839
442,puerto baquerizo moreno,-0.9,-89.6,22.55,78,75,5.14,EC,1726612601
443,hakha,22.65,93.6167,17.04,95,94,0.4,MM,1726612842
444,sumbe,-11.2061,13.8437,21.71,91,88,3.33,AO,1726612843
445,la ronge,55.1001,-105.2842,23.14,31,20,2.57,CA,1726612844
446,punta del este,-34.9667,-54.95,18.06,83,0,3.13,UY,1726612845
